epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,88363.2,0.54885,0.2785,0.89696,0.97659,0.9806,0.98863,0.884,0.52598,0.25696,0.90949,0.0004358,0.0004358,0.0004358
81,88798,0.52296,0.27004,0.88772,0.97658,0.98042,0.98844,0.88032,0.53289,0.25481,0.91619,0.000416,0.000416,0.000416
82,89243.5,0.54236,0.27815,0.89561,0.97798,0.9745,0.99025,0.88149,0.53464,0.25254,0.91184,0.0003962,0.0003962,0.0003962
83,89674.6,0.52868,0.26638,0.89625,0.97186,0.97425,0.98892,0.88587,0.53104,0.2496,0.91144,0.0003764,0.0003764,0.0003764
84,90125.5,0.52853,0.27369,0.88971,0.97236,0.97335,0.98767,0.87835,0.52769,0.2529,0.91276,0.0003566,0.0003566,0.0003566
85,90585.8,0.5238,0.26767,0.88384,0.97887,0.97179,0.99,0.88481,0.53207,0.24624,0.91649,0.0003368,0.0003368,0.0003368
86,91014.7,0.5279,0.26416,0.89733,0.9745,0.97649,0.98905,0.88409,0.52888,0.24749,0.91495,0.000317,0.000317,0.000317
87,91446,0.51315,0.2598,0.88306,0.97472,0.97649,0.98871,0.88029,0.53198,0.25062,0.91378,0.0002972,0.0002972,0.0002972
88,91873.6,0.53374,0.27203,0.89302,0.96928,0.97806,0.98823,0.8795,0.53375,0.24955,0.91712,0.0002774,0.0002774,0.0002774
89,92299.4,0.52295,0.26512,0.88548,0.97344,0.97641,0.98872,0.88578,0.53548,0.24886,0.91287,0.0002576,0.0002576,0.0002576
90,92719.4,0.5094,0.25776,0.88649,0.97791,0.97806,0.98851,0.88691,0.52953,0.24793,0.91508,0.0002378,0.0002378,0.0002378
91,93139.1,0.47068,0.22831,0.87151,0.97491,0.9743,0.98877,0.87988,0.53424,0.24697,0.9141,0.000218,0.000218,0.000218
92,93562.3,0.4669,0.22495,0.8711,0.97968,0.97492,0.98938,0.88645,0.53416,0.24802,0.91189,0.0001982,0.0001982,0.0001982
93,93985,0.4691,0.22832,0.86916,0.98416,0.97369,0.98838,0.88439,0.53129,0.25124,0.91398,0.0001784,0.0001784,0.0001784
94,94405.2,0.46766,0.2233,0.86652,0.98266,0.97714,0.9889,0.88258,0.53668,0.25177,0.91185,0.0001586,0.0001586,0.0001586
95,94826.9,0.46496,0.22396,0.86954,0.98265,0.97672,0.98872,0.88111,0.53869,0.24855,0.91805,0.0001388,0.0001388,0.0001388
96,95248,0.46096,0.21976,0.86456,0.98245,0.97649,0.98928,0.88258,0.53349,0.24997,0.9178,0.000119,0.000119,0.000119
97,95668.3,0.45541,0.22302,0.86369,0.9842,0.97806,0.99022,0.88259,0.53157,0.24605,0.9166,9.92e-05,9.92e-05,9.92e-05
98,96088.9,0.45154,0.21384,0.86618,0.9818,0.97649,0.98958,0.88408,0.53012,0.2436,0.91417,7.94e-05,7.94e-05,7.94e-05
99,96509.1,0.45256,0.21625,0.86843,0.98214,0.97492,0.98892,0.88466,0.53293,0.24473,0.91536,5.96e-05,5.96e-05,5.96e-05
100,97239.5,0.44713,0.21481,0.85796,0.97957,0.97677,0.98907,0.88316,0.53119,0.24352,0.91516,3.98e-05,3.98e-05,3.98e-05
